question_id,question_text,correct_answer,option1,option2,option3,category_id,difficulty
24,Which two teams played in Super Bowl XLII?,The New York Giants & The New England Patriots,The Green Bay Packers & The Pittsburgh Steelers,The Philadelphia Eagles & The New England Patriots,The Seattle Seahawks & The Denver Broncos,1,easy
25,Which NFL team plays for New England?,Patriots,Chiefs,Dolphins,49ers,1,easy
26,Which Formula 1 driver switched teams in the middle of the 2017 season?,Carlos Sainz Jr.,Daniil Kvyat,Jolyon Palmer,Carlos Sainz Jr.,1,medium
27,"In bowling, what is the term used for getting three consecutive strikes?",Turkey,Turkey,Flamingo,Birdie,1,easy
28,What national team won the 2016 edition of UEFA European Championship?,Portugal,France,Portugal,Germany,1,medium
29,"In Formula 1, the Virtual Safety Car was introduced following the fatal crash of which driver?",Jules Bianchi,Ayrton Senna,Jules Bianchi,Ronald Ratzenberger,1,medium
30,The Rio 2016 Summer Olympics held it's closing ceremony on what date?,August 21,August 21,August 23,August 19,1,easy
31,How many points did LeBron James score in his first NBA game?,25,19,69,25,1,easy
32,Which country hosted the 2022 FIFA World Cup?,Qatar,USA,Japan,Qatar,1,easy
33,"This Canadian television sportscaster is known for his ""Hockey Night in Canada"" role, a commentary show during hockey games.",Don Cherry,Don McKellar,Don Cherry,Don Taylor,1,easy
34,"Which player holds the NHL record of 2,857 points?",Wayne Gretzky,Mario Lemieux,Wayne Gretzky,Sidney Crosby,1,easy
35,Which English football team is nicknamed 'The Tigers'?,Hull City,Cardiff City,Bristol City,Manchester City,1,hard
36,How many soccer players should be on the field at the same time?,22,20,24,26,1,easy
37,What is the name of Manchester United's home stadium?,Old Trafford,Anfield,City of Manchester Stadium,Old Trafford,1,easy
38,Which team won 2014 FIFA World Cup in Brazil?,Germany,Argentina,Brazil,Netherlands,1,easy
39,When was the FC Schalke 04 founded?,1904,1909,1904,2008,1,easy
40,Who was the top scorer of the 2014 FIFA World Cup?,James Rodríguez,Thomas Müller,Lionel Messi,Neymar,1,medium
41,Which car manufacturer won the 2017 24 Hours of Le Mans?,Porsche,Toyota,Audi,Chevrolet,1,medium
42,When was the first official international game played?,1872,1880,1863,1872,1,easy
43,Which country hosted the 2018 FIFA World Cup?,Russia,Germany,Russia,United States,1,easy
44,"In Baseball, how many times does the ball have to be pitched outside of the strike zone before the batter is walked?",4,1,2,4,1,easy
45,Which year was the third Super Bowl held?,1969,1968,1971,1969,1,hard
46,"Which Italian footballer told Neuer where he's putting his shot and dragging it wide, during the match Italy-Germany, UEFA EURO 2016?",Pelle,Insigne,Barzagli,Pelle,1,hard
48,"Who won the ""Champions League"" in 1999?",Manchester United,Manchester United,Barcelona,Bayern Munich,1,medium
49,Which country hosted the 2020 Summer Olympics?,Japan,China,Australia,Japan,1,easy
50,"In baseball, how many fouls are an out?",0,0,5,3,1,easy
51,"Which country did Kabaddi, a contact sport involving tackling, originate from?",India,India,Australia,Turkey,1,medium
52,Which team was the 2015-2016 NBA Champions?,Cleveland Cavaliers,Cleveland Cavaliers,Golden State Warriors,Toronto Raptors,1,medium
54,What is the exact length of one non-curved part in Lane 1 of an Olympic Track?,84.39m,84.39m,100m,100yd,1,medium
55,Which of these countries' national teams qualified for the 2018 FIFA World Cup in Russia?,Tunisia,United States of America,Tunisia,Italy,1,medium
56,Why was The Green Monster at Fenway Park was originally built?,To prevent viewing games from outside the park.,To make getting home runs harder.,To display advertisements.,To prevent viewing games from outside the park.,1,medium
58,What tool lends it's name to a last-stone advantage in an end in Curling?,Hammer,Hammer,Wrench,Drill,1,hard
59,"The song ""Three Lions"" by the Lightning Seeds was made for which major football event in 1996?",European Championships,World Cup,Champions League,European Championships,1,medium
60,"What is the full name of the footballer ""Cristiano Ronaldo""?",Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo los Santos Diego,Cristiano Armando Diego Ronaldo,Cristiano Luis Armando Ronaldo,1,hard
61,"In the 2014 FIFA World Cup, what was the final score in the match Brazil - Germany?",1-7,1-5,1-6,2-6,1,easy
62,"Prior to 2018, which car company is the only Japanese company which won the 24 Hours of Le Mans?",Mazda,Toyota,Mazda,Subaru,1,hard
63,Which English football club has the nickname 'The Foxes'?,Leicester City,Leicester City,Northampton Town,Bradford City,1,easy
64,Which female player won the gold medal of table tennis singles in 2016 Olympics Games?,DING Ning (China),LI Xiaoxia (China),Ai FUKUHARA (Japan),DING Ning (China),1,hard
66,Which country won the 2018 FIFA World Cup hosted in Russia?,France,Croatia,Belgium,France,1,easy
73,How many premier league trophies did Sir Alex Ferguson win during his time at Manchester United?,13,11,13,20,1,medium
74,In what sport does Fanny Chmelar compete for Germany?,Skiing,Swimming,Skiing,Showjumping,1,medium
76,The AHL affiliate team of the Boston Bruins is named what?,Providence Bruins,New Haven Bruins,Cambridge Bruins,Hartford Bruins,1,hard
77,What is Tiger Woods' all-time best career golf-score?,61,65,63,61,1,medium
78,Which team was the 2014-2015 NBA Champions?,Golden State Warriors,Golden State Warriors,Cleveland Cavaliers,Houston Rockets,1,medium
80,Which of the following pitchers was named National League Rookie of the Year for the 2013 season?,Jose Fernandez,Jose Fernandez,Jacob deGrom,Shelby Miller,1,medium
81,What year did the New Orleans Saints win the Super Bowl?,2010,2010,2008,2009,1,easy
83,Which Formula One driver was nicknamed 'The Professor'?,Alain Prost,Alain Prost,Ayrton Senna,Niki Lauda,1,medium
84,"""Stadium of Light"" is the home stadium for which soccer team?",Sunderland FC,Barcelona FC,Paris Saints-Germain,Sunderland FC,1,easy
85,What is the name of the AHL affiliate of the Toronto Maple Leafs?,Toronto Marlies,Toronto Rock,Toronto Argonauts,Toronto Marlies,1,medium
86,"In 2016, who won the Formula 1 World Constructor's Championship for the third time in a row?",Mercedes-AMG Petronas,Mercedes-AMG Petronas,Scuderia Ferrari,McLaren Honda,1,medium
87,What is the oldest team in Major League Baseball?,Atlanta Braves,Chicago Cubs,Atlanta Braves,Cincinnati Reds,1,medium
88,What was the final score of the Germany vs. Brazil 2014 FIFA World Cup match?,7 - 1,0 - 1,3 - 4,7 - 1,1,easy
90,Which wrestler won the 2019 Men’s Royal Rumble?,Seth Rollins,Braun Strowman,AJ Styles,Seth Rollins,1,easy
92,Who scored the injury time winning goal in the 1999 UEFA Champions League final between Manchester United and Bayern Munich?,Ole Gunnar Solskjær,Ole Gunnar Solskjær,Dwight Yorke,Andy Cole,1,hard
95,Who is Manchester United's leading appearance maker?,Ryan Giggs,Ryan Giggs,David Beckham,Wayne Rooney,1,hard
99,"Which of these teams isn't a member of the NHL's ""Original Six"" era?",Philadelphia Flyers,New York Rangers,Toronto Maple Leafs,Boston Bruins,1,medium
101,At which bridge does the annual Oxford and Cambridge boat race start?,Putney,Hammersmith,Putney,Vauxhall,1,medium
102,What team won the 2016 MLS Cup?,Seattle Sounders,Colorado Rapids,Seattle Sounders,Toronto FC,1,easy
103,Who is Manchester United's top premier league goal scorer?,Wayne Rooney,Sir Bobby Charlton,Ryan Giggs,Wayne Rooney,1,medium
104,Which portuguese island is soccer player Cristiano Ronaldo from?,Madeira,Madeira,Terceira,Santa Maria,1,medium
106,Which of these Russian cities did NOT contain a stadium that was used in the 2018 FIFA World Cup?,Vladivostok,Rostov-on-Don,Yekaterinburg,Vladivostok,1,hard
110,What is the nickname of Northampton town's rugby union club?,Saints,Harlequins,Saints,Saracens,1,medium
116,"Which player ""kung-fu kicked"" a Crystal Palace fan in January 1995?",Eric Cantona,David Seamen,Ashley Cole,Mark Hughes,1,hard
120,Which professional wrestler fell from the rafters to his death during a live Pay-Per-View event in 1999?,Owen Hart,Chris Benoit,Lex Luger,Owen Hart,1,medium
122,"In a game of snooker, what colour ball is worth 3 points?",Green,Yellow,Brown,Blue,1,medium
123,"In golf, what name is given to a hole score of two under par?",Eagle,Eagle,Birdie,Bogey,1,easy
125,Which male player won the gold medal of table tennis singles in 2016 Olympics Games?,Ma Long (China),Zhang Jike (China),Ma Long (China),Jun Mizutani (Japan),1,hard
127,Which of the following Grand Slam tennis tournaments occurs LAST?,US Open,French Open,US Open,Wimbledon,1,medium
129,Which country is hosting the 2022 FIFA World Cup?,Qatar,Uganda,Vietnam,Qatar,1,medium
133,With which team did Michael Schumacher make his Formula One debut at the 1991 Belgian Grand Prix?,Jordan,Benetton,Ferrari,Jordan,1,medium
134,Who won the UEFA Champions League in 2017?,Real Madrid C.F.,Real Madrid C.F.,Atletico Madrid,AS Monaco FC,1,easy
136,How many French Open's did Björn Borg win?,6,4,9,6,1,medium
137,Who won the UEFA Champions League in 2016?,Real Madrid C.F.,Real Madrid C.F.,FC Bayern Munich,Atletico Madrid,1,easy
146,What was Sir Donald Bradman's batting average in test matches?,99.94,100,99.94,69.51,1,medium
148,Which nation hosted the FIFA World Cup in 2006?,Germany,United Kingdom,Brazil,South Africa,1,medium
150,Which sport is NOT traditionally played during the Mongolian Naadam festival?,American Football,American Football,Wrestling,Archery,1,medium
154,Which boxer was banned for taking a bite out of Evander Holyfield's ear in 1997?,Mike Tyson,Roy Jones Jr.,Evander Holyfield,Lennox Lewis,1,easy
156,How many scoring zones are there on a conventional dart board?,82,62,42,82,1,medium
158,"Which city did the former NHL team ""The Nordiques"" originiate from?",Quebec City,Houston,Montreal,New York,1,easy
162,Who won the 2015 Formula 1 World Championship?,Lewis Hamilton,Nico Rosberg,Sebastian Vettel,Lewis Hamilton,1,easy
163,What is the oldest team in the NFL?,Arizona Cardinals,Chicago Bears,Green Bay Packers,Arizona Cardinals,1,medium
168,"In Canadian football, scoring a rouge is worth how many points?",1,2,1,3,1,hard
170,What team did England beat to win in the 1966 World Cup final?,West Germany,Soviet Union,Portugal,West Germany,1,easy
171,The Mazda 787B won the 24 Hours of Le Mans in what year?,1991,1990,2000,1991,1,hard
172,Which NBA player has the most games played over the course of their career?,Robert Parish,Kareem Abdul-Jabbar,Robert Parish,Kevin Garnett,1,medium
173,Which of the following sports is not part of the triathlon?,Horse-Riding,Cycling,Swimming,Horse-Riding,1,easy
176,Which team won the 2015-16 English Premier League?,Leicester City,Liverpool,Leicester City,Cheslea,1,easy
180,What is the most common type of pitch thrown by pitchers in baseball?,Fastball,Slowball,Screwball,Fastball,1,easy
184,How many games did Arsenal FC go unbeaten during the 2003-2004 season of the English Premier League,38,51,38,49,1,medium
198,Who won the 2017 Formula One World Drivers' Championship?,Lewis Hamilton,Sebastian Vettel,Nico Rosberg,Lewis Hamilton,1,easy
200,The F1 season of 1994 is remembered for what tragic event?,Death of Ayrton Senna (San Marino),The Showdown (Australia),Verstappen on Fire (Germany),Schumacher's Ban (Britain),1,medium
202,Who won the 2015 College Football Playoff (CFP) National Championship?,Ohio State Buckeyes,Ohio State Buckeyes,Alabama Crimson Tide,Clemson Tigers,1,medium
215,Who won the 2018 Monaco Grand Prix?,Daniel Ricciardo,Sebastian Vettel,Kimi Raikkonen,Lewis Hamilton,1,medium
223,Which soccer team won the Copa América 2015 Championship ?,Chile,Argentina,Brazil,Chile,1,medium
299,Which NBA player won Most Valuable Player for the 1999-2000 season?,Shaquille O'Neal,Allen Iverson,Kobe Bryant,Shaquille O'Neal,1,medium
313,Which basketball team has attended the most NBA grand finals?,Los Angeles Lakers,Boston Celtics,Philadelphia 76ers,Los Angeles Lakers,1,medium
314,What country hosted the 2014 Winter Olympics?,Russia,Russia,Canada,United States,1,medium
324,What year was hockey legend Wayne Gretzky born?,1961,1965,1959,1961,1,medium
352,Which car manufacturer won the 2016 24 Hours of Le Mans?,Porsche,Toyota,Audi,Ferrari,1,medium
408,Which German sportswear company's logo is the 'Formstripe'?,Puma,Nike,Puma,Adidas,1,medium
471,Who was the British professional wrestler Shirley Crabtree better known as?,Big Daddy,Big Daddy,Giant Haystacks,Kendo Nagasaki,1,medium
840,Which team has won the most Stanley Cups in the NHL?,Montreal Canadians,Chicago Blackhawks,Montreal Canadians,Toronto Maple Leafs,1,easy
946,"Sean Bean voices the character of ""Martin Septim"" in which Elder Scrolls game?",The Elder Scrolls IV: Oblivion,The Elder Scrolls V: Skyrim,The Elder Scrolls III: Morrowind,The Elder Scrolls IV: Oblivion,2,medium
947,"Who is the main character in the video game ""Just Cause 3""?",Rico Rodriguez,Rico Rodriguez,Tom Sheldon,Marcus Holloway,2,medium
948,The creation of the  Entertainment Software Ratings Board (ESRB) is often associated with Mortal Kombat and what FMV video game?,Night Trap,Sewer Shark,The Daedalus Encounter,Night Trap,2,hard
949,"In the video game, Half-life, what event started the Half-life universe as we know today?",The Resonance Cascade,World War 3,The Xen Attack,The Resonance Cascade,2,easy
950,Which retro video game was released first?,Space Invaders,Galaga,Pac-Man,Space Invaders,2,hard
951,Killing Floor started as a mod for which Unreal Engine 2 game?,Unreal Tournament 2004,Unreal Tournament 2004,Deus Ex: Invisible War,Unreal Tournament 3,2,medium
952,"In Touhou: Embodiment of Scarlet Devil, what song plays during Flandre Scarlet's boss fight?",U.N. Owen Was Her,Septette for the Dead Princess,Flowering Night,Pierrot of the Star-Spangled Banner,2,medium
953,"What is the name of the world that the MMO ""RuneScape"" takes place in?",Gielinor,Glindor,Gielinor,Azeroth,2,easy
954,"In Undertale, how much do Spider Donuts cost in Hotland?",9999G,7G,40G,12G,2,medium
955,"In ""Need for Speed III: Hot Pursuit"", what is the name of the fictional car?",El Niño,El Niño,Rápido,Ágil,2,hard
956,"In what year was ""Metal Gear Solid"" released in North America?",1998,1987,2001,2004,2,easy
957,"In the game Call of Duty, what is the last level where you play as an American soldier?",Festung Recogne,Festung Recogne,Ste. Mere-Eglise (Day),Chateau,2,hard
958,"""Tomb Raider"" icon Lara Croft was originally called...",Laura Cruz,Laura Craft,Laura Cruz,Laura Croft,2,easy
959,"What was Frank West's job in ""Dead Rising""?",Photojournalist,Janitor,Chef,Taxi Driver,2,easy
960,"In the Halo series, what fleet was Thel 'Vadam supreme commander of before being branded an Arbiter?",Fleet of Particular Justice,Fleet of Particular Justice,Fleet of Sacred Consecration,Fleet of Furious Redemption,2,medium
961,In what year was Pokémon Diamond & Pearl released in Japan?,2006,2006,2009,2007,2,medium
962,"In Sid Meier's Civilization V, which World Wonder can only be built in cities on or next to a desert?",Petra,The Pyramids,Alhambra,Mausoleum of Maussollos,2,medium
963,"In Xenoblade Chronicles X, which class has a sniper rifle as it's primary weapon?",Partisan Eagle,Blast Fencer,Winged Viper,Bastion Warrior,2,hard
964,Which of the following Terran units from the RTS game Starcraft was first introduced in the expansion Brood War?,Medic,Medic,Wraith,Science Vessel,2,medium
965,Which Game Development company made No Man's Sky?,Hello Games,Dovetail Games,Hello Games,Valve,2,medium
966,"Which of the following colors does the Zombie eyes glow in the ""Nuketown"" map in ""Call of Duty: Black Ops II"" Zombies mode?",Yellow and Blue,Yellow and Red,Red and Blue,Blue and White,2,medium
967,"In ""A Hat in Time"", what must Hat Kid collect to finish a level",A time piece,A time piece,A heart fragment,A relic fragment,2,easy
968,"In ""Sonic the Hedgehog 3"" for the Sega Genesis, what is the color of the second Chaos Emerald you can get from Special Stages?",Orange,Blue,Green,Orange,2,hard
969,"What is the plane of existence in MicroProse's 1997 ""Magic the Gathering""?",Shandalar,Theros,Shandalar,Ravnica,2,hard
970,"What is the name of the virus in ""Metal Gear Solid 1""?",FOXDIE,FOXENGINE,FOXALIVE,FOXKILL,2,medium
971,"In the game Overwatch, which hero out of the following 4 is from Brazil?",Lúcio,Sombra,McCree,Lúcio,2,medium
972,"In Terraria, which of the following items does the Martian Saucer mini-boss NOT drop?",Drill Containment Unit,Drill Containment Unit,Anti-Gravity Hook,Influx Waver,2,medium
973,In which year did the orignal Sims game release?,2000,2001,2000,1999,2,easy
974,"In ""Earthbound"", how does one enter ""Master Belch's"" factory?",Wait 3 Minutes,"Enter the password ""Fly Honey""","Enter the password ""Master Belch Rules""","Enter the password ""Mr Saturn Drools""",2,hard
975,"Who was the mascot of SEGA before ""Sonic the Hedgehog""?",Alex Kidd,Alex Kidd,Opa Opa,NiGHTS,2,medium
976,Where was the Sniper character in Team Fortress 2 born?,New Zealand,South Africa,Antarctica,Australia,2,medium
977,What block in Minecraft has the highest blast resistance?,Barrier,Obsidian,Bedrock,Block of Diamond,2,medium
978,How many stars are there to collect in Super Mario 64?,120,60,80,100,2,medium
979,What was the original release date of Grand Theft Auto V?,"September 17, 2013","August 17, 2013","April 14, 2015","September 17, 2013",2,medium
980,"In Overwatch, what is Lúcio's full name?",Lúcio Correia Dos Santos,Lúcio Luiz Lós Guilherme,Lúcio João Lucas,Lúcio Correia Dos Santos,2,medium
981,"In Geometry Dash, what is level 13?",Electroman Adventures,Theory of Everything,Clubstep,Clutterfunk,2,hard
982,What are tiny Thwomps called in Super Mario World?,Thwimps,Thwimps,Little Thwomp,Mini Thwomp,2,medium
983,"In the PAYDAY series, who is the iconic leader of the PAYDAY gang?",Dallas,Dallas,Wolf,Chains,2,medium
984,"What is the boss round featured in the ""Call Of Duty: Zombies"" map ""Five""?",The Pentagon Thief,Hellhounds,Jumping Jacks,Napalm Zombie,2,easy
985,In what year was the first eSports competition?,1972,1989,1990,1972,2,medium
986,Which Grand Theft Auto (GTA) games have the same setting?,GTA V and GTA San Andreas,GTA V and GTA Vice City,GTA IV and GTA San Andreas,GTA IV and GTA Vice City,2,easy
987,Which unlockable character in Super Smash Bros. For Wii U and 3DS does not have to be fought to be unlocked?,Mii Fighters,Ness,R.O.B.,Mewtwo,2,medium
988,Who stars in Brutal Legend?,Jack Black,Jack Black,Kanye West,Lemmy,2,easy
989,"In Monster Hunter Generations, which of these hunter arts are exclusive to the Longsword?",Unhinged Spirit,Shoryugeki,Provoke,Demon Riot,2,hard
990,What is the name of a popular franchise that includes placing blocks down and surviving in an open world?,Minecraft,Minecraft,Unturned,Roblox,2,easy
991,"""Exile"" and ""Revelations"" were the third and fourth installments of which PC game series?",Myst,Myst,Shivers,Doom,2,hard
992,What is the only Generation III Pokemon whose name begins with the letter I?,Illumise,Illumise,Infernape,Ivysaur,2,medium
993,"What is the real name of ""Warhead"" in the Sega Genesis game ""Vectorman""?",Raster,Peacehead,Vectorkid,Bitmap,2,hard
994,"In Rust, how many Timed Explosive Charges does it take to destroy a Ladder Hatch?",1,3,2,1,2,easy
995,What was the first game ever released that ran on the Source engine?,Counter-Strike: Source,Half-Life 2,Garry's Mod,Counter-Strike: Source,2,medium
996,"Which Pokémon can learn the move ""Secret Power"" by leveling up?",Audino,Type:Null,Arceus,Audino,2,easy
997,"In the game Destiny, who succeeded Peter Dinklage in voicing the protagonist's ""Ghost""?",Nolan North,John DiMaggio,Mark Hamill,Nolan North,2,medium
998,"In Portal 2, the iconic character GLaDOS is turned into:",A potato,A tomato,A lemon,A potato,2,medium
999,"In ""Call Of Duty: Zombies"", which weapon does NOT deal any damage?",31-79 JGb215,Sliquifier,V-R11,Wunderwaffe DG-2,2,hard
1000,"The Khajiit are a race of cat-like creatures from which epic series of role-playing games, set across the land of Tamriel?",The Elder Scrolls,Lord of the Rings,The Witcher,Neverwinter Nights,2,easy
1001,What is the world's first video game console?,Magnavox Odyssey,Coleco Telstar,Nintendo Color TV Game,Magnavox Odyssey,2,medium
1002,"In the game Sonic Forces, which of the following was not from a previous game?",Infinite,Metal Sonic,Zavoc,Infinite,2,easy
1004,"In the beta version of the 1986 game ""The Legend of Zelda"", players have the choice between a sword and what other item?",Boomerang,Spear,Slingshot,Crossbow,2,medium
1005,Which of the following is not a real Pokémon?,Luminid,Dragalge,Luminid,Mandibuzz,2,medium
1006,What is the original name of Final Fantasy XV?,Final Fantasy Versus XIII,Final Fantasy: Reborn,Final Fantasy XVI,Final Fantasy XIII-3,2,medium
1007,When was the first Call of Duty title released?,"October 29, 2003","December 1, 2003","October 29, 2003","November 14, 2002",2,hard
1008,"What video game sparked controversy because of its hidden ""Hot Coffee"" minigame?",Grand Theft Auto: San Andreas,Grand Theft Auto: Vice City,Hitman: Blood Money,Grand Theft Auto: San Andreas,2,easy
1009,Which student in Yandere Simulator is known for asking irritating and stupid questions?,Midori Gurin,Kokona Hruka,Oka Ruto,Midori Gurin,2,easy
1010,"Given that all party members are maxed, who is the fastest party member in Super Mario RPG: Legend of The Seven Stars?",Geno,Geno,Mario,Bowser,2,hard
1011,Rincewind from the 1995 Discworld game was voiced by which member of Monty Python?,Eric Idle,John Cleese,Terry Gilliam,Michael Palin,2,easy
1012,In which series of games do you collect souls to empower you and buy weaponry and armor with?,Souls,Final Fantasy,Monster Hunter,Souls,2,easy
1013,"Which of these is NOT a playable character in ""Left 4 Dead""?",Nick,Louis,Zoey,Nick,2,easy
1014,"In the 2002 video game ""Kingdom Hearts"", how many playable worlds were there?",14,13,16,14,2,medium
1015,"The Internet Meme ""All your base are belong to us"" is based on the poorly translated English Version of which Video Game?",Zero Wing,F-Zero,Zero Wing,Wing Commander,2,hard
1016,What programming language does the Source Engine use?,C++,Python,C++,Java,2,hard
1017,What Pokémon's Base Stat Total does not change when it evolves?,Scyther,Scyther,Pikachu,Sneasel,2,hard
1018,"When was the first ""Half-Life"" released?",1998,2004,1999,1997,2,hard
1019,Which video game earned music composer Mike Morasky the most awards for his work?,Portal 2,Left 4 Dead 2,Portal 2,Team Fortress 2,2,medium
1020,Which of the following Elite Four members from the 6th Generation of Pokémon was a member of Team Flare?,Malva,Siebold,Wikstrom,Malva,2,easy
1021,Which of these characters won the Super Smash Bros. Fighter Ballot in 2015?,Bayonetta,Cloud,Ryu,Bayonetta,2,medium
1022,"In ""Call of Duty: Zombies"", what group does Doctor Maxis work for?",Group 935,Group Reanimate,Group 935,Group Rezurrection,2,medium
1023,"The mobile game ""Jetpack Joyride"" was released in what year?",2011,2012,2011,2009,2,medium
1024,"In the game Half-Life, which enemy is showcased as the final boss?",The Nihilanth,Dr. Wallace Breen,G-Man,The Gonarch,2,easy
1025,What is the name of the talking cat in Persona 5?,Morgana,Morgana,Teddie,Marie,2,easy
1026,What element does the Zinogre use in Monster Hunter?,Thunder,Thunder,Ice,Fire,2,medium
1027,"Who is the main protagonist of ""Ace Combat Zero: The Belkan War""?",Cipher,Mobius 1,Blaze,Pixy,2,medium
1028,What Nationality is D.Va from Overwatch?,Korean,Korean,Japanese,Chinese,2,easy
1029,Who was the voice actor for Snake in Metal Gear Solid V: The Phantom Pain?,Kiefer Sutherland,Kiefer Sutherland,David Hayter,Norman Reedus,2,easy
1030,What is the name of the 8th installment in the Fire Emblem series?,The Sacred Stones,Blazing Sword,Awakening,Path of Radiance,2,medium
1031,"How many trophies are there in ""Super Smash Bros. for Nintendo 3DS""?",685,1360,685,716,2,hard
1032,Just Cause 2 was mainly set in what fictional Southeast Asian island country?,Panau,Davao,Macau,Palau,2,medium
1033,"What is the final game of the ""Zero Escape"" series called?",Zero Escape Zero Time Dilemma,"Nine Hours, Nine Persons, Nine Doors",Zero Escape Zero Time Dilemma,Zero Escape Virtue's Last Reward,2,medium
1034,"Which German city does the map ""Clubhouse"" in ""Tom Clancy's Rainbow Six Siege"" take place in?",Hannover,Berlin,Hamburg,Munich,2,medium
1035,"In ""Call Of Duty: Zombies"", what is the name of Samantha Maxis' dog?",Fluffy,Baxter,Fido,Fluffy,2,medium
1036,"How many aces can be shot down through the entirety of ""Ace Combat Zero: The Belkan War""?",169,100,169,132,2,hard
1038,"In Splatoon, what is the age that inklings can freely change between squid and humanoid forms?",14,13,16,10,2,medium
1039,"In the game Tom Clancy's Rainbow 6 Siege, what organization is Valkyrie from?",Navy Seals,S.A.S,G.I.G.N,Navy Seals,2,medium
1040,"In ""Halo 2"", what is the name of the monitor of Installation 05?",2401 Penitent Tangent,2401 Penitent Tangent,343 Guilty Spark,031 Exuberant Witness,2,medium
1041,Who's the creator of Geometry Dash?,Robert Topala,Robert Topala,Scott Cawthon,Adam Engels,2,medium
1042,"How many Chaos Emeralds are there in the ""Sonic the Hedgehog"" universe?",7,6,8,14,2,easy
1043,What was the code name given to Sonic the Hedgehog 4 during its development?,Project Needlemouse,Project Bluespike,Project Roboegg,Project Needlemouse,2,hard
1044,"The walls of the Goldenrod City Gym in ""Pokémon Gold and Silver"" are arranged in the shape of which Pokémon?",Clefairy,Bulbasaur,Clefairy,Pikachu,2,medium
1045,"When was ""Luigi's Mansion 3"" released?","October 31st, 2019","January 13th, 2019","September 6th, 2018","October 31st, 2019",2,easy
1046,"In ""The Witness"", how many lasers must be activated to get into the mountain area?",7,7,8,5,2,hard
1047,Which Elite Four member from the first generation of Pokémon became the champion in the next generation?,Lance,Agatha,Bruno,Lance,2,easy
1048,"What was the code name for the ""Nintendo Gamecube""?",Dolphin,Dolphin,Nitro,Revolution,2,medium
1049,"What was the first ""Team Fortress 2"" update to include a war?",Sniper vs. Spy Update,WAR! Update,Meet Your Match Update,Sniper vs. Spy Update,2,medium
1050,"In ""Overwatch"", what is the name of the company that made D.Va's mech?",MEKA,MEKA,MI8,KPAMC,2,easy
1051,"Which Greek letter represents the ""Half-Life"" logo?",Lambda,Lambda,Omega,Alpha,2,easy
1052,"In the video game franchise ""Halo"", what is the UNSC's main opposing faction called?",The Covenant,The Reckoning,The Covenant,The Peoples,2,easy
1054,"What was the release date of ""Grand Theft Auto IV""?","April 29, 2008","May 21, 2009","April 29, 2008","June 22, 2010",2,easy
